6.80,8.40,45.80,28.60,Sun May 14 15:21:05 CEST 2017
7.00,7.70,44.30,29.90,Sun May 14 15:22:04 CEST 2017
6.70,7.50,43.50,31.10,Sun May 14 15:23:03 CEST 2017
6.60,7.30,42.00,32.00,Sun May 14 15:24:05 CEST 2017
5.60,6.20,39.90,32.80,Sun May 14 15:25:04 CEST 2017
5.50,6.10,40.40,33.30,Sun May 14 15:26:03 CEST 2017
5.00,5.50,40.10,33.90,Sun May 14 15:27:05 CEST 2017
5.20,5.70,40.30,34.80,Sun May 14 15:28:04 CEST 2017
5.20,5.60,39.60,35.50,Sun May 14 15:29:03 CEST 2017
4.60,5.10,36.60,36.20,Sun May 14 15:30:05 CEST 2017
4.40,4.90,36.90,36.60,Sun May 14 15:31:04 CEST 2017
4.60,5.30,37.70,37.10,Sun May 14 15:32:03 CEST 2017
4.90,7.20,36.40,37.50,Sun May 14 15:33:05 CEST 2017
4.40,5.20,35.60,37.80,Sun May 14 15:34:04 CEST 2017
4.50,6.50,35.80,38.20,Sun May 14 15:35:03 CEST 2017
4.50,5.20,36.50,38.50,Sun May 14 15:36:05 CEST 2017
4.40,5.10,35.80,38.60,Sun May 14 15:37:04 CEST 2017
4.40,5.60,34.20,38.50,Sun May 14 15:38:03 CEST 2017
4.50,5.20,35.40,38.00,Sun May 14 15:39:05 CEST 2017
4.40,5.70,35.60,37.10,Sun May 14 15:40:04 CEST 2017
4.30,6.50,35.70,36.10,Sun May 14 15:41:03 CEST 2017
5.10,5.60,37.00,36.10,Sun May 14 15:42:05 CEST 2017
5.20,5.80,36.90,36.50,Sun May 14 15:43:04 CEST 2017
4.30,4.70,35.40,37.00,Sun May 14 15:44:03 CEST 2017
4.60,5.10,34.90,37.30,Sun May 14 15:45:05 CEST 2017
4.70,6.00,36.40,37.60,Sun May 14 15:46:04 CEST 2017
3.70,4.00,35.40,38.00,Sun May 14 15:47:03 CEST 2017
4.30,4.70,33.70,38.30,Sun May 14 15:48:05 CEST 2017
4.20,5.70,34.20,38.70,Sun May 14 15:49:04 CEST 2017
4.20,4.70,33.30,39.00,Sun May 14 15:50:03 CEST 2017
4.30,6.90,34.30,39.30,Sun May 14 15:51:05 CEST 2017
4.50,5.20,34.40,39.70,Sun May 14 15:52:04 CEST 2017
4.60,5.10,33.90,40.00,Sun May 14 15:53:04 CEST 2017
4.20,5.40,33.50,40.40,Sun May 14 15:54:03 CEST 2017
4.60,5.10,33.10,40.70,Sun May 14 15:55:05 CEST 2017
4.30,5.00,32.90,40.90,Sun May 14 15:56:04 CEST 2017
4.20,4.70,32.50,41.10,Sun May 14 15:57:03 CEST 2017
5.10,5.60,33.40,41.30,Sun May 14 15:58:05 CEST 2017
4.70,5.20,33.10,41.60,Sun May 14 15:59:04 CEST 2017
4.70,5.20,32.40,42.00,Sun May 14 16:00:03 CEST 2017
4.80,10.40,32.20,42.10,Sun May 14 16:01:05 CEST 2017
4.00,4.70,32.30,42.30,Sun May 14 16:02:04 CEST 2017
4.30,4.80,31.10,42.30,Sun May 14 16:03:03 CEST 2017
5.00,5.90,31.70,42.20,Sun May 14 16:04:05 CEST 2017
4.50,4.90,31.90,42.30,Sun May 14 16:05:04 CEST 2017
4.20,5.40,31.40,42.10,Sun May 14 16:06:03 CEST 2017
4.90,5.40,31.70,41.80,Sun May 14 16:07:05 CEST 2017
5.00,5.40,32.30,41.70,Sun May 14 16:08:04 CEST 2017
4.60,5.00,31.90,41.70,Sun May 14 16:09:03 CEST 2017
4.20,4.70,32.50,41.60,Sun May 14 16:10:03 CEST 2017
4.40,4.90,32.30,41.70,Sun May 14 16:11:05 CEST 2017
4.30,4.70,32.80,42.00,Sun May 14 16:13:04 CEST 2017
4.60,5.00,30.50,42.40,Sun May 14 16:14:03 CEST 2017
4.30,4.70,30.50,42.30,Sun May 14 16:15:05 CEST 2017
4.00,5.00,30.70,42.30,Sun May 14 16:16:04 CEST 2017
4.10,4.40,30.90,42.30,Sun May 14 16:17:03 CEST 2017
4.10,4.50,30.80,42.30,Sun May 14 16:18:05 CEST 2017
3.80,4.10,31.20,42.30,Sun May 14 16:19:04 CEST 2017
4.60,6.40,31.80,42.40,Sun May 14 16:20:03 CEST 2017
4.20,4.60,31.40,42.50,Sun May 14 16:21:05 CEST 2017
4.40,4.90,31.30,42.50,Sun May 14 16:22:04 CEST 2017
4.40,4.80,30.80,42.60,Sun May 14 16:23:03 CEST 2017
4.80,5.50,31.40,42.70,Sun May 14 16:24:05 CEST 2017
4.20,4.70,31.10,42.90,Sun May 14 16:25:04 CEST 2017
4.20,4.60,31.50,43.00,Sun May 14 16:27:03 CEST 2017
5.60,6.70,30.90,42.90,Sun May 14 16:28:05 CEST 2017
4.80,5.90,31.10,42.60,Sun May 14 16:29:04 CEST 2017
4.90,6.00,31.20,42.30,Sun May 14 16:30:03 CEST 2017
4.80,6.80,32.10,42.20,Sun May 14 16:31:05 CEST 2017
4.50,5.80,31.50,42.30,Sun May 14 16:32:04 CEST 2017
4.40,4.80,31.60,42.20,Sun May 14 16:33:03 CEST 2017
4.30,6.60,31.60,42.10,Sun May 14 16:34:05 CEST 2017
4.60,5.10,32.20,42.00,Sun May 14 16:35:04 CEST 2017
4.30,4.70,30.90,42.20,Sun May 14 16:37:03 CEST 2017
4.70,5.40,31.30,42.50,Sun May 14 16:38:05 CEST 2017
4.20,4.60,31.20,42.60,Sun May 14 16:39:04 CEST 2017
4.50,5.00,30.50,42.70,Sun May 14 16:40:03 CEST 2017
4.80,6.10,31.40,42.60,Sun May 14 16:41:05 CEST 2017
4.70,5.10,31.10,42.60,Sun May 14 16:42:04 CEST 2017
4.80,5.20,30.80,42.50,Sun May 14 16:43:03 CEST 2017
4.70,5.10,31.50,42.40,Sun May 14 16:44:05 CEST 2017
4.20,4.60,31.90,42.30,Sun May 14 16:45:04 CEST 2017
4.10,4.40,30.80,42.30,Sun May 14 16:46:03 CEST 2017
4.50,4.90,31.50,42.30,Sun May 14 16:47:05 CEST 2017
4.50,5.00,30.20,42.30,Sun May 14 16:48:04 CEST 2017
4.50,4.90,30.30,42.20,Sun May 14 16:49:03 CEST 2017
4.00,4.40,30.30,42.30,Sun May 14 16:50:03 CEST 2017
4.50,4.80,30.30,42.40,Sun May 14 16:51:05 CEST 2017
4.70,5.60,30.30,42.60,Sun May 14 16:52:04 CEST 2017
4.30,4.70,30.40,42.80,Sun May 14 16:53:03 CEST 2017
4.70,5.10,29.60,42.80,Sun May 14 16:54:05 CEST 2017
4.30,4.70,30.30,42.60,Sun May 14 16:55:04 CEST 2017
4.60,5.10,30.70,42.70,Sun May 14 16:56:03 CEST 2017
4.40,4.80,30.60,42.70,Sun May 14 16:57:05 CEST 2017
4.30,4.70,30.60,42.80,Sun May 14 16:58:04 CEST 2017
4.30,4.80,30.00,42.80,Sun May 14 16:59:03 CEST 2017
4.10,4.40,30.80,42.60,Sun May 14 17:00:05 CEST 2017
4.50,5.00,30.60,42.60,Sun May 14 17:01:04 CEST 2017
4.50,5.50,30.30,42.70,Sun May 14 17:02:03 CEST 2017
4.20,4.60,30.30,42.70,Sun May 14 17:03:05 CEST 2017
4.60,5.00,30.30,42.80,Sun May 14 17:04:04 CEST 2017
4.50,4.90,30.60,42.90,Sun May 14 17:05:03 CEST 2017
4.10,4.70,30.50,43.00,Sun May 14 17:06:05 CEST 2017
